categorie,name,unitTogramme,energieKcal,energieKj,eau,proteines,glucides,sucres,lipides,agSature,fibres,sel,sodium,calcium,fer,vitamineD,vitamineC,vegan,glutenFree,pregnantPermission,Code CIQUAL,Emballage,EF(mPt/kg),ChangementClimatique(kgCO2eq/kg),AppauvrissementCoucheOzone(E-06kgCVC11eq/kg),RayonnementsIonisants(kBqU-235eq/kg),FormationPhotochimiqueOzone(E-03kgNMVOCeq/kg),Particules (E-06 disease inc./kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation terreste (mol N eq/kg),Eutrophisation eaux douces (E-03 kg P eq/kg),Eutrophisation marine (E-03 kg N eq/kg),Utilisation du sol (Pt/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (E-06 kg Sb eq/kg)
LEGUMES,Cresson de fontaine cru,null,11,46.024,94.6,02.09,0.9,0.2,0.15,0.027,0.85,0.13,50.5,101,0.9,0,51.5,TRUE,TRUE,TRUE,20022,Pas d'emballage,0.090233499,0.77271322,0.10809793,0.46419666,1.5647474,0.0312531049999999,0.0028271429,0.008488433,0.12887004,3.1509858,-27.898335,46.482365,0.64607406,14.638315,2.2765106
LEGUMES,Céleri branche cru,null,17.6,73.6384,93.4,0.63,2.41,1.3,0.5,0.01,2.2,0.2,79,46,0.06,0,5.51,TRUE,TRUE,TRUE,20023,Pas d'emballage,0.079864126,0.66122856,0.079116299,0.24257182,2.0729414000000004,0.032660292,0.0037897184,0.010019928,0.22866065,2.6122493,9.7562151,30.105683,0.5689089,11.929387,2.1570655
LEGUMES,Endive crue,null,20.2,84.5168,94.3,1.19,2.83,2.4,0.5,0.01,1.1,0.013,5,20,0.12,0,2.12,TRUE,TRUE,TRUE,20026,Pas d'emballage,0.11713851,0.79470609,0.2673132099999999,0.86117796,2.1014361,0.036057713,0.0041620802,0.014463014,0.16614599,3.0836736,41.935711,34.935862,0.98006432,23.210854,3.7980705
LEGUMES,Pissenlit cru,null,52,217.568,85.3,2.91,6.1,0.71,0.85,0.17,2.7,0.22,87.8,62.3,3.1,0,37.5,TRUE,TRUE,TRUE,20038,Pas d'emballage,0.12941731,0.87032166,0.11443571,0.44789612,2.2636147,0.058924681,0.0044692053,0.024333452,0.14115463,1.7161164,-2.2276371,21.185727,3.4347228,16.475177,6.1275748
LEGUMES,Radis rouge cru,null,14.5,60.668,95.5,0.94,1.53,1.1,0.5,0.01,1.4,0.04,16,15,0.4,0,12.2,TRUE,TRUE,TRUE,20045,Pas d'emballage,0.05550275,0.24930031,0.055467617,0.16889255,0.7879988099999999,0.017260249,0.0016639387,0.0046764579,0.054382525,1.1261281,8.7252633,26.2048,1.8791999,6.3705882,2.1790312
LEGUMES,Navet cru,null,25,104.6,91.9,0.76,4.7,3.8,0.1,0.011,1.9,0.11,42,40,0.4,0,18.5,TRUE,TRUE,TRUE,20033,PP,0.14238377,1.049817,0.16737367,0.73014158,2.7381968,0.039896222,0.0042443451,0.011651201,0.16558185,2.149517,13.183034,43.272887,2.8311992,27.756937,4.1727306
LEGUMES,Chou-rave cru,null,27,112.968,91,1.79,2.35,2.35,0.1,0.013,3.6,0.05,20,24,0.4,0,55.1,TRUE,TRUE,TRUE,20065,Pas d'emballage,0.070883164,0.38690672,0.067809909,0.20495043,1.0245043,0.021407029,0.0020615439,0.0058527856,0.077705822,1.4445192999999998,10.617771,33.199728,2.2822357,7.7687745,2.6475155
LEGUMES,Asperge crue,null,25.9,108.3656,93.3,02.04,2.4,1.88,0.21,0.051,1.95,0.011,4.2,22,1.32,0,8.8,TRUE,TRUE,TRUE,20073,Pas d'emballage,0.27603921,1.3880947,0.20193796,0.42387615,5.6296447,0.14881825,0.019956546,0.080005473,0.33723801,12.308517,178.02062,120.28324,3.4962397,20.147279,5.9001679
LEGUMES,Radis noir cru,null,29.2,122.1728,91.4,0.94,5.52,4.3,0.3,0.01,1.2,0.058,23,39,0.23,0,9.58,TRUE,TRUE,TRUE,20089,Pas d'emballage,0.05550275,0.24930031,0.055467617,0.16889255,0.7879988099999999,0.017260249,0.0016639387,0.0046764579,0.054382525,1.1261281,8.7252633,26.2048,1.8791999,6.3705882,2.1790312
LEGUMES,Betterave rouge crue,null,43,179.912,86.7,1.74,9.1,6.76,0.24,0.038,2.55,0.15,60.5,22.1,0.7,0,6.45,TRUE,TRUE,TRUE,20091,Pas d'emballage,0.05550275,0.24930031,0.055467617,0.16889255,0.7879988099999999,0.017260249,0.0016639387,0.0046764579,0.054382525,1.1261281,8.7252633,26.2048,1.8791999,6.3705882,2.1790312
